
164,Micro-ondas,2144.11,87
165,Ar Condicionado,3595.83,99
166,HD Externo,2609.1,41
167,Bola Futebol,116.02,8
168,Air Fryer,1371.74,68
169,Teclado Mecânico,387.04,56
170,Patinete Elétrico,3374.53,98
171,Colchão,3326.12,26
172,Mesa de Jantar,2603.43,72
173,Guarda-Roupa,1008.64,67
174,Smartphone,4091.11,46
175,Console de Jogos,3682.79,72
176,Placa de Vídeo,2869.52,86
177,Mochila Escolar,2339.51,26
178,Ventilador,2804.61,90
179,Console de Jogos,2503.43,2
180,Caixa de Som,1150.44,73
181,HD Externo,3136.51,59
182,Cama Box,3448.59,30
183,Camisa Esportiva,4943.5,52
184,Relógio Digital,2547.74,26
185,SSD,2342.02,50
186,Caixa de Som,2720.62,41
187,Memória RAM,765.45,68
188,Câmera Fotográfica,711.69,76
189,Mesa de Jantar,391.26,49
190,Perfume Feminino,2953.03,74
191,Teclado Mecânico,31.17,93
192,Notebook Gamer,1987.11,45
193,Tênis Corrida,2105.76,98
194,Micro-ondas,3631.4,47
195,Smartwatch,325.24,11
196,Caixa de Som,2599.9,16
197,Jaqueta Jeans,3500.96,59
198,Liquidificador,550.71,26
199,SSD,656.85,26
200,Bicicleta,3936.8,62
